Seccion	Gls_Seccion	Grupo	Gls_Grupo	Clase	Gls_Clase
A	Agricultura, ganadería, silvicultura y pesca	011	Cultivo de plantas no perennes	0111	Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas
A	Agricultura, ganadería, silvicultura y pesca	011	Cultivo de plantas no perennes	0112	Cultivo de arroz
A	Agricultura, ganadería, silvicultura y pesca	011	Cultivo de plantas no perennes	0113	Cultivo de hortalizas y melones, raíces y tubérculos
A	Agricultura, ganadería, silvicultura y pesca	011	Cultivo de plantas no perennes	0114	Cultivo de caña de azúcar
A	Agricultura, ganadería, silvicultura y pesca	011	Cultivo de plantas no perennes	0115	Cultivo de tabaco
A	Agricultura, ganadería, silvicultura y pesca	011	Cultivo de plantas no perennes	0116	Cultivo de plantas de fibra
A	Agricultura, ganadería, silvicultura y pesca	011	Cultivo de plantas no perennes	0119	Cultivo de otras plantas no perennes
A	Agricultura, ganadería, silvicultura y pesca	012	Cultivo de plantas perennes	0121	Cultivo de uva
A	Agricultura, ganadería, silvicultura y pesca	012	Cultivo de plantas perennes	0122	Cultivo de frutas tropicales y subtropicales
A	Agricultura, ganadería, silvicultura y pesca	012	Cultivo de plantas perennes	0123	Cultivo de cítricos
A	Agricultura, ganadería, silvicultura y pesca	012	Cultivo de plantas perennes	0124	Cultivo de frutas de pepita y de hueso
A	Agricultura, ganadería, silvicultura y pesca	012	Cultivo de plantas perennes	0125	Cultivo de otros frutos y nueces de árboles y arbustos
A	Agricultura, ganadería, silvicultura y pesca	012	Cultivo de plantas perennes	0126	Cultivo de frutos oleaginosos
A	Agricultura, ganadería, silvicultura y pesca	012	Cultivo de plantas perennes	0127	Cultivo de plantas con las que se preparan bebidas
A	Agricultura, ganadería, silvicultura y pesca	012	Cultivo de plantas perennes	0128	Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas
A	Agricultura, ganadería, silvicultura y pesca	012	Cultivo de plantas perennes	0129	Cultivo de otras plantas perennes
A	Agricultura, ganadería, silvicultura y pesca	013	Propagación de plantas	0130	Propagación de plantas
A	Agricultura, ganadería, silvicultura y pesca	014	Ganadería	0141	Cría de ganado bovino y búfalos
A	Agricultura, ganadería, silvicultura y pesca	014	Ganadería	0142	Cría de caballos y otros equinos
