RUT	DV	VIGENCIA	FECHA	TIPO_DIRECCION	CALLE	NUMERO	BLOQUE	DEPARTAMENTO	VILLA_POBLACION	CIUDAD	COMUNA	REGION
50000510	6	S	2007-12-20	SUCURSAL	SAMUEL IZQUIERDO	2151				SANTIAGO	QUINTA NORMAL	XIII REGION METROPOLITANA
50003920	5	N	2002-04-18	SUCURSAL	SANTA FILOMENA	487			ROL 469-12	STGO	RECOLETA	XIII REGION METROPOLITANA
50004330	K	N	2000-12-06	SUCURSAL	SANTIAGO ARCOS	2646			1814-23	STGO	INDEPENDENCIA	XIII REGION METROPOLITANA
50008100	7	S	1993-01-01	SUCURSAL	CATEDRAL	2921				SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50008100	7	S	1998-08-13	SUCURSAL	COMPANIA	2312		3		SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50008100	7	S	1998-08-13	SUCURSAL	EJERCITO	30		30		SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50008860	5	S	1993-01-01	SUCURSAL	VILCHES BAJO	S N			EL CARRETON	SAN CLEMENTE	SAN CLEMENTE	VII REGION DEL MAULE
50012630	2	N	1993-01-01	SUCURSAL	EXEQUIEL GONZALEZ	198				SAN VICENTE TT.	SAN VICENTE T-T	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50012630	2	N	1993-01-01	SUCURSAL	GENERAL DEL CANTO	45				SANTA CRUZ	SANTA CRUZ	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50012630	2	N	1993-01-01	SUCURSAL	ORTUZAR	343				PICHILEMU	PICHILEMU	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50012630	2	N	1993-01-01	SUCURSAL	R, CASANOVA	301/35				SANTA CRUZ	SANTA CRUZ	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50013070	9	N	2002-09-03	SUCURSAL	PENA	640			ROL 211/7		CURICO	VII REGION DEL MAULE
50017610	5	S	1993-01-01	SUCURSAL	PC SANTA ELENA CHACARILLA				EL PARRON	MAULE	MAULE	VII REGION DEL MAULE
50018710	7	S	2000-07-07	SUCURSAL	CARDENAL SAMORE				PAR 10 VILLA DULCE	VINA DEL MAR	VINA DEL MAR	V REGION VALPARAISO
50021160	1	S	2001-12-19	SUCURSAL	PARCELA EL TREBOL	S/N				LIMACHE	LIMACHE	V REGION VALPARAISO
50023110	6	S	1993-01-01	SUCURSAL	2 SUR	1064				TALCA	TALCA	VII REGION DEL MAULE
50023200	5	S	2000-08-02	SUCURSAL	LOS CORCOLENES				SECTOR LOS GUANACOS	LOS ANGELES	LOS ANGELES	VIII REGION DEL BIO BIO
50024780	0	S	2001-03-14	SUCURSAL	CAUPOLICAN	536				CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50024780	0	S	2005-09-08	SUCURSAL	FREIRE	644		10		CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50024780	0	S	1998-09-30	SUCURSAL	MANUEL RODRIGUEZ	550				CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50031630	6	S	2007-01-08	SUCURSAL	VICUNA ROZAS FTE.AL	6156			KIOSKO	SANTIAGO	CERRO NAVIA	XIII REGION METROPOLITANA
50031650	0	S	1999-08-30	SUCURSAL	AVDA HEROE CONCEPCION	2555		210	211-214 MALL AMERIC	IQUIQUE	IQUIQUE	I REGION DE TARAPACA
50031650	0	S	1999-08-30	SUCURSAL	AVDA HEROE CONCEPCION	2555		216	218 MALL AMERICAS	IQUIQUE	IQUIQUE	I REGION DE TARAPACA
50031650	0	S	1993-01-01	SUCURSAL	SANTOS DUMONT	944				SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50031650	0	S	2002-05-14	SUCURSAL	USUARIO ALMACEN PUBLICO	ZOFRI			CERTIF.190, 23/04/02	IQUIQUE	IQUIQUE	I REGION DE TARAPACA
50034920	4	S	2019-08-01	SUCURSAL	CARLOS VALDOVINOS	1983				SANTIAGO	P AGUIRRE CERDA	XIII REGION METROPOLITANA
50034920	4	N	2014-05-26	SUCURSAL	JOSE JOAQUIN PRIETO	3192				SANTIAGO	SAN MIGUEL	XIII REGION METROPOLITANA
50034920	4	N	2009-08-11	SUCURSAL	PEDRO AGUIRRE CERDA	4553				SANTIAGO	CERRILLOS	XIII REGION METROPOLITANA
50036540	4	S	2002-11-29	SUCURSAL	EYZAGUIRRE	998				STGO	SAN BERNARDO	XIII REGION METROPOLITANA
50038430	1	N	2015-03-05	SUCURSAL	ALC.FDO CASTILLO VELASCO	6832				SANTIAGO	LA REINA	XIII REGION METROPOLITANA
50038430	1	N	1999-10-15	SUCURSAL	AVDA LARRAIN	6832				SANTIAGO	LA REINA	XIII REGION METROPOLITANA
50039870	1	N	1999-10-21	SUCURSAL	AV SUECIA	1489				STGO	PROVIDENCIA	XIII REGION METROPOLITANA
50047700	8	S	2000-02-09	SUCURSAL	TARAPACA	732				SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50051170	2	S	1993-01-01	SUCURSAL	ENRIQUE MEIGGS	1960				QUINTERO	QUINTERO	V REGION VALPARAISO
50051170	2	S	1993-01-01	SUCURSAL	LAUTARO NAVARRO	363				PUNTA ARENAS	PUNTA ARENAS	XII REGION DE MAGALLANES Y LA ANTARTICA CHILENA
50054340	K	N	1993-01-01	SUCURSAL	DIAGONAL PARAGUAY	280		5	SANTIAGO CENTRO	SANTIAGO CENTRO	SANTIAGO	XIII REGION METROPOLITANA
50054340	K	N	1993-01-01	SUCURSAL	DOCTOR VARGAS	390				LA LIGUA	LA LIGUA	V REGION VALPARAISO
50055740	0	S	1993-01-01	SUCURSAL	AV. ARGENTINA	3056			ZONA INDUSTRIAL	ARICA	ARICA	XV REGION ARICA Y PARINACOTA
50060340	2	S	2004-01-12	SUCURSAL	GALLEGUILLOS LORCA	999			INTERIOR	ANTOFAGASTA	ANTOFAGASTA	II REGION DE ANTOFAGASTA
50063230	5	S	1993-01-01	SUCURSAL	PARCELA 1				PARC LA CANTERA	STGO	COLINA	XIII REGION METROPOLITANA
50066880	6	S	1999-05-13	SUCURSAL	ERRAZURIZ ESQ. DE MOLINA	S/N				VALPARAISO	VALPARAISO	V REGION VALPARAISO
50067910	7	N	2003-07-11	SUCURSAL	AVDA TRINIDAD ORIENTE	1307				STGO	LA FLORIDA	XIII REGION METROPOLITANA
50067910	7	N	2003-07-11	SUCURSAL	CAMINO LLALLAUQUEN S/N	KM 3				LAS CABRAS	LAS CABRAS	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50067910	7	S	2016-03-31	SUCURSAL	SEMINARIO	25				LAS CABRAS	LAS CABRAS	VI REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
50068450	K	S	2006-10-26	SUCURSAL	CALLE LARGA ,POSTURA	16			VEGA CENTRAL	SANTIAGO	RECOLETA	XIII REGION METROPOLITANA
50068450	K	S	2000-01-14	SUCURSAL	PC STA SOFIA					STGO	TIL-TIL	XIII REGION METROPOLITANA
50068690	1	S	2005-10-13	SUCURSAL	RICARDO SANTA CRUZ	404-7			POCOCHAY	QUILLOTA	LA CRUZ	V REGION VALPARAISO
50069430	0	S	1993-01-01	SUCURSAL	HACIENDA HUECHUN	S/N				SANTIAGO	TIL-TIL	XIII REGION METROPOLITANA
50069510	2	S	2001-02-20	SUCURSAL	SANTA ELENA	2392	OF.408	-----	--------------------	SANTIAGO	SAN JOAQUIN	XIII REGION METROPOLITANA
50070250	8	N	2001-03-09	SUCURSAL	PANAMERICANA NORTE	1475				STGO	INDEPENDENCIA	XIII REGION METROPOLITANA
50070250	8	N	2012-08-01	SUCURSAL	SECTOR SAN RICARDO	PARC-2			SECTOR SAN RICARDO	TALCA	SAN RAFAEL	VII REGION DEL MAULE
50070950	2	S	1993-01-01	SUCURSAL	PORTUGAL	910				SANTIAGO	SANTIAGO	XIII REGION METROPOLITANA
50071640	1	N	2013-11-19	SUCURSAL	BARROS ARANA	631		1		CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50071640	1	S	2015-08-04	SUCURSAL	BARROS ARANA	631		2		CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50071640	1	S	2015-07-30	SUCURSAL	BARROS ARANA	631		30,31		CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50071640	1	S	2005-11-18	SUCURSAL	BARROS ARANA	631		33-34		CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50071640	1	N	2008-01-10	SUCURSAL	BARROS ARANA	631		35		CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50071640	1	N	2000-04-05	SUCURSAL	BARROS ARANA	637				CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
50071640	1	S	2000-11-15	SUCURSAL	CAUPOLICAN	556		29		CONCEPCION	CONCEPCION	VIII REGION DEL BIO BIO
