seccion	gls_seccion	division	gls_division	clase	gls_clase
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0111	Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0112	Cultivo de arroz
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0113	Cultivo de hortalizas y melones, raíces y tubérculos
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0114	Cultivo de caña de azúcar
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0115	Cultivo de tabaco
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0116	Cultivo de plantas de fibra
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0119	Cultivo de otras plantas no perennes
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0121	Cultivo de uva
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0122	Cultivo de frutas tropicales y subtropicales
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0123	Cultivo de cítricos
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0124	Cultivo de frutas de pepita y de hueso
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0125	Cultivo de otros frutos y nueces de árboles y arbustos
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0126	Cultivo de frutos oleaginosos
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0127	Cultivo de plantas con las que se preparan bebidas
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0128	Cultivo de especias y de plantas aromáticas, medicinales y farmacéuticas
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0129	Cultivo de otras plantas perennes
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0130	Propagación de plantas
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0141	Cría de ganado bovino y búfalos
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0142	Cría de caballos y otros equinos
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0143	Cría de camellos y otros camélidos
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0144	Cría de ovejas y cabras
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0145	Cría de cerdos
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0146	Cría de aves de corral
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0149	Cría de otros animales
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0150	Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0161	Actividades de apoyo a la agricultura
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0162	Actividades de apoyo a la ganadería
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0163	Actividades poscosecha
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0164	Tratamiento de semillas para propagación
A	Agricultura, ganadería, silvicultura y pesca	01	AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS.	0170	Caza ordinaria y mediante trampas y actividades de servicios conexas
A	Agricultura, ganadería, silvicultura y pesca	02	SILVICULTURA Y EXTRACCIÓN DE MADERA.	0210	Silvicultura y otras actividades forestales
A	Agricultura, ganadería, silvicultura y pesca	02	SILVICULTURA Y EXTRACCIÓN DE MADERA.	0220	Extracción de madera
A	Agricultura, ganadería, silvicultura y pesca	02	SILVICULTURA Y EXTRACCIÓN DE MADERA.	0230	Recolección de productos forestales distintos de la madera
A	Agricultura, ganadería, silvicultura y pesca	02	SILVICULTURA Y EXTRACCIÓN DE MADERA.	0240	Servicios de apoyo a la silvicultura
